sourceTaxonId;sourceTaxonName;sourceLifestageName;interactionTypeName;targetGenericItemName;localityName;reference1Id;reference2Id;reference3Id;reference4Id
A90;Triturus karelinii;all;eats;invertebrates;EUROPE;HERPref9;;;
A91;Triturus marmoratus;all;eats;invertebrates;EUROPE;HERPref4;HERPref6;;
A92;Lissotriton montandoni;all;eats;invertebrates;EUROPE;HERPref4;;;
A93;Triturus pygmaeus;all;eats;invertebrates;EUROPE;HERPref6;;;
A94;Ommatotriton vittatus;all;eats;invertebrates;EUROPE;HERPref20;HERPef19;;
A95;Lissotriton vulgaris;all;eats;invertebrates;EUROPE;HERPref4;HERPref6;;
A96;Pelophylax caralitanus;all;eats;algae;EUROPE;HERPref9;;;
A96;Pelophylax caralitanus;all;eats;detritus;EUROPE;HERPref9;;;
A96;Pelophylax caralitanus;all;eats;other plant parts;EUROPE;HERPref9;;;
A96;Pelophylax caralitanus;all;eats;invertebrates;EUROPE;HERPref9;;;
A96;Pelophylax caralitanus;all;eats;fish;EUROPE;HERPref9;;;
A97;Ommatotriton ophryticus;all;eats;invertebrates;EUROPE;HERPref19;;;
A98;Rana macrocnemis holtzi;all;eats;algae;EUROPE;HERPref13;;;
A98;Rana macrocnemis holtzi;all;eats;detritus;EUROPE;HERPref13;;;
A98;Rana macrocnemis holtzi;all;eats;other plant parts;EUROPE;HERPref13;;;
A98;Rana macrocnemis holtzi;all;eats;invertebrates;EUROPE;HERPref13;;;
A99;Calotriton arnoldi;all;eats;invertebrates;EUROPE;HERPref6;;;
A100;Bufotes balearica;all;eats;algae;EUROPE;HERPref7;HERPref4;HERPref5;
A100;Bufotes balearica;all;eats;detritus;EUROPE;HERPref7;HERPref4;HERPref5;
A100;Bufotes balearica;all;eats;other plant parts;EUROPE;HERPref7;HERPref4;HERPref5;
A100;Bufotes balearica;all;eats;invertebrates;EUROPE;HERPref7;HERPref4;HERPref5;
A101;Bufotes boulengeri;all;eats;algae;EUROPE;HERPref7;HERPref4;HERPref5;
A101;Bufotes boulengeri;all;eats;detritus;EUROPE;HERPref7;HERPref4;HERPref5;
A101;Bufotes boulengeri;all;eats;other plant parts;EUROPE;HERPref7;HERPref4;HERPref5;
A101;Bufotes boulengeri;all;eats;invertebrates;EUROPE;HERPref7;HERPref4;HERPref5;
A102;Bufotes sicula;all;eats;algae;EUROPE;HERPref7;HERPref4;HERPref5;
A102;Bufotes sicula;all;eats;detritus;EUROPE;HERPref7;HERPref4;HERPref5;
A102;Bufotes sicula;all;eats;other plant parts;EUROPE;HERPref7;HERPref4;HERPref5;
A102;Bufotes sicula;all;eats;invertebrates;EUROPE;HERPref7;HERPref4;HERPref5;
A103;Bufotes variabilis;all;eats;algae;EUROPE;HERPref4;HERPref5;;
A103;Bufotes variabilis;all;eats;detritus;EUROPE;HERPref4;HERPref5;;
A103;Bufotes variabilis;all;eats;other plant parts;EUROPE;HERPref4;HERPref5;;
A103;Bufotes variabilis;all;eats;invertebrates;EUROPE;HERPref4;HERPref5;;
A104;Triturus macedonicus;all;eats;invertebrates;EUROPE;HERPref9;;;
B1;Gavia stellata;all;eats;invertebrates;EUROPE;BIRDref1;BIRDref532;BIRDref517;
B1;Gavia stellata;all;eats;fish;EUROPE;BIRDref1;BIRDref532;BIRDref517;
B2;Gavia arctica;all;eats;invertebrates;EUROPE;BIRDref2;BIRDref532;BIRDref517;
B2;Gavia arctica;all;eats;fish;EUROPE;BIRDref2;BIRDref532;BIRDref517;
B3;Gavia immer;all;eats;invertebrates;EUROPE;BIRDref3;BIRDref532;BIRDref517;
B3;Gavia immer;all;eats;fish;EUROPE;BIRDref3;BIRDref532;BIRDref517;
B4;Gavia adamsii;all;eats;invertebrates;EUROPE;BIRDref4;BIRDref532;BIRDref517;
B4;Gavia adamsii;all;eats;fish;EUROPE;BIRDref4;BIRDref532;BIRDref517;
B5;Tachybaptus ruficollis;all;eats;invertebrates;EUROPE;BIRDref5;BIRDref532;BIRDref517;
B5;Tachybaptus ruficollis;all;eats;fish;EUROPE;BIRDref5;BIRDref532;BIRDref517;
B6;Podiceps cristatus;all;eats;algae;EUROPE;BIRDref6;BIRDref532;BIRDref517;
B6;Podiceps cristatus;all;eats;seeds nuts and grains;EUROPE;BIRDref6;BIRDref532;BIRDref517;
B6;Podiceps cristatus;all;eats;fruit;EUROPE;BIRDref6;BIRDref532;BIRDref517;
B6;Podiceps cristatus;all;eats;other plant parts;EUROPE;BIRDref6;BIRDref532;BIRDref517;
B6;Podiceps cristatus;all;eats;invertebrates;EUROPE;BIRDref6;BIRDref532;BIRDref517;
B6;Podiceps cristatus;all;eats;fish;EUROPE;BIRDref6;BIRDref532;BIRDref517;
B7;Podiceps grisegena;all;eats;algae;EUROPE;BIRDref7;BIRDref532;BIRDref517;
B7;Podiceps grisegena;all;eats;seeds nuts and grains;EUROPE;BIRDref7;BIRDref532;BIRDref517;
B7;Podiceps grisegena;all;eats;fruit;EUROPE;BIRDref7;BIRDref532;BIRDref517;
B7;Podiceps grisegena;all;eats;other plant parts;EUROPE;BIRDref7;BIRDref532;BIRDref517;
B7;Podiceps grisegena;all;eats;invertebrates;EUROPE;BIRDref7;BIRDref532;BIRDref517;
B7;Podiceps grisegena;all;eats;fish;EUROPE;BIRDref7;BIRDref532;BIRDref517;
B8;Podiceps auritus;all;eats;algae;EUROPE;BIRDref8;BIRDref532;BIRDref517;
B8;Podiceps auritus;all;eats;seeds nuts and grains;EUROPE;BIRDref8;BIRDref532;BIRDref517;
B8;Podiceps auritus;all;eats;fruit;EUROPE;BIRDref8;BIRDref532;BIRDref517;
B8;Podiceps auritus;all;eats;other plant parts;EUROPE;BIRDref8;BIRDref532;BIRDref517;
B8;Podiceps auritus;all;eats;invertebrates;EUROPE;BIRDref8;BIRDref532;BIRDref517;
B8;Podiceps auritus;all;eats;fish;EUROPE;BIRDref8;BIRDref532;BIRDref517;
B9;Podiceps nigricollis;all;eats;algae;EUROPE;BIRDref9;BIRDref532;BIRDref517;
B9;Podiceps nigricollis;all;eats;seeds nuts and grains;EUROPE;BIRDref9;BIRDref532;BIRDref517;
B9;Podiceps nigricollis;all;eats;fruit;EUROPE;BIRDref9;BIRDref532;BIRDref517;
B9;Podiceps nigricollis;all;eats;other plant parts;EUROPE;BIRDref9;BIRDref532;BIRDref517;
B9;Podiceps nigricollis;all;eats;invertebrates;EUROPE;BIRDref9;BIRDref532;BIRDref517;
B9;Podiceps nigricollis;all;eats;fish;EUROPE;BIRDref9;BIRDref532;BIRDref517;
B10;Fulmarus glacialis;all;eats;invertebrates;EUROPE;BIRDref10;BIRDref532;BIRDref517;
B10;Fulmarus glacialis;all;eats;fish;EUROPE;BIRDref10;BIRDref532;BIRDref517;
B11;Pterodroma feae;all;eats;invertebrates;EUROPE;BIRDref11;BIRDref532;BIRDref517;
B11;Pterodroma feae;all;eats;fish;EUROPE;BIRDref11;BIRDref532;BIRDref517;
